Depth,Sample,Permeability,lPerm,Porosity,PRT,ROCK_INDEX,G1,PD1,G2,PD2,BV1,BV2,Mode,lMode,Reference_Set,Pc,lPc,BVOCC,lBVOCC,dBv,Microns,lMicrons
21,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,51.52,1.71197585435176,15.0173371443463,1.17659293093434,1.04137992384061,4.11490683229814,0.614360006576996
22,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,103.04,2.01300585001574,15.7819526437777,1.19816073587937,0.764615499431402,2.05745341614907,0.313330010913015
23,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,206.08,2.31403584567972,16.7009162586134,1.22274029840171,0.918963614835736,1.02872670807453,0.012300015249033
24,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,412.16,2.6150658413437,18.4126677212051,1.26511671586221,1.71175146259172,0.514363354037267,-0.288729980414948
25,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,824.32,2.91609583700768,19.6523377546822,1.29341421952416,1.23967003347707,0.257181677018634,-0.589759976078929
26,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,1648.64,3.21712583267166,20.5191059144064,1.31215843319908,0.866768159724181,0.128590838509317,-0.89078997174291
27,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,3297.28,3.51815582833564,21.1593538073976,1.32550240050083,0.640247892991219,0.064295419254658,-1.19181996740689
28,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,6594.56,3.81918582399962,21.6547925456349,1.33555402751552,0.495438738237276,0.032147709627329,-1.49284996307087
29,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,13189.12,4.12021581966361,22.0517871772092,1.34344379243186,0.396994631574316,0.016073854813665,-1.79387995873485
30,3,2034.6025,3.3084795737976,0.26043,M_1,1,0.53,1.16,0.65,120,20.71,5.33,50.1444995956864,1.70022330173826,Rosetta,26378.24,4.42124581532759,22.3784040274282,1.34982911048561,0.326616850218986,0.008036927406832,-2.09490995439883
31,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,1.61,0.20682587603185,0.017116833312941,-1.76657657855627,0,131.67701863354,2.1195099848969
32,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,3.22,0.507855871695831,2.03204261267394,0.307932811020891,2.014925779361,65.8385093167702,1.81847998923292
33,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,6.44,0.808885867359812,5.02289145018132,0.70095379271327,2.99084883750738,32.9192546583851,1.51744999356894
34,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,12.88,1.10991586302379,7.35965636224965,0.866857536693088,2.33676491206833,16.4596273291925,1.21641999790496
35,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,25.76,1.41094585868777,9.08611280937604,0.958378124530708,1.72645644712639,8.22981366459627,0.915390002240977
36,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,51.52,1.71197585435176,10.3843473808246,1.01637920787037,1.29823457144857,4.11490683229814,0.614360006576996
37,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,103.04,2.01300585001574,11.3874183508445,1.05642527604869,1.0030709700199,2.05745341614907,0.313330010913015
38,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,206.08,2.31403584567972,12.1820889880648,1.08572176762348,0.794670637220318,1.02872670807453,0.012300015249033
39,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,412.16,2.6150658413437,16.9418081040496,1.22895975827965,4.75971911598475,0.514363354037267,-0.288729980414948
40,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,824.32,2.91609583700768,18.3196895616862,1.26291811000929,1.37788145763661,0.257181677018634,-0.589759976078929
41,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,1648.64,3.21712583267166,19.0944053885329,1.28090613872401,0.774715826846748,0.128590838509317,-0.89078997174291
42,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,3297.28,3.51815582833564,19.6482156884926,1.29332311695945,0.553810299959679,0.064295419254658,-1.19181996740689
43,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,6594.56,3.81918582399962,20.0828554179547,1.3028254616651,0.434639729462106,0.032147709627329,-1.49284996307087
44,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,13189.12,4.12021581966361,20.4403700119234,1.31048875313988,0.35751459396872,0.016073854813665,-1.79387995873485
45,4,687.9194,2.83753755715152,0.24874,M_1,1,0.98,1.17,0.12,200,18.84,6.03,29.6311177851819,1.47174803483408,Rosetta,26378.24,4.42124581532759,20.7428125929366,1.31686764360438,0.30244258101316,0.008036927406832,-2.09490995439883
46,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,1.61,0.20682587603185,0.005936261344056,-2.2264869874826,0,131.67701863354,2.1195099848969
47,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,3.22,0.507855871695831,2.69995803162712,0.431357013501796,2.69402177028306,65.8385093167702,1.81847998923292
48,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,6.44,0.808885867359812,5.94758883398797,0.774340937438629,3.24763080236085,32.9192546583851,1.51744999356894
49,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,12.88,1.10991586302379,8.10248739389969,0.908618364015995,2.15489855991172,16.4596273291925,1.21641999790496
50,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,25.76,1.41094585868777,9.55535925875728,0.98024702013648,1.45287186485759,8.22981366459627,0.915390002240977
51,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,51.52,1.71197585435176,10.5871172719924,1.02477772372449,1.03175801323508,4.11490683229814,0.614360006576996
52,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,103.04,2.01300585001574,11.3528104489246,1.05510338675987,0.765693176932206,2.05745341614907,0.313330010913015
53,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,206.08,2.31403584567972,12.931550842603,1.11165061165506,1.57874039367849,1.02872670807453,0.012300015249033
54,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,412.16,2.6150658413437,14.5646679457527,1.16330058776416,1.6331171031497,0.514363354037267,-0.288729980414948
55,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,824.32,2.91609583700768,15.6037850434949,1.19322995887463,1.0391170977422,0.257181677018634,-0.589759976078929
56,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,1648.64,3.21712583267166,16.3247720186666,1.21284712491027,0.720986975171664,0.128590838509317,-0.89078997174291
57,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,3297.28,3.51815582833564,16.8625964660344,1.22692444716012,0.537824447367836,0.064295419254658,-1.19181996740689
58,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,6594.56,3.81918582399962,17.283909724685,1.23764198928849,0.421313258650603,0.032147709627329,-1.49284996307087
59,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,13189.12,4.12021581966361,17.6254187149117,1.24613944302035,0.341508990226615,0.016073854813665,-1.79387995873485
60,5,535.3885,2.72866903842323,0.2128,M_1,1,0.7,1.32,0.5,100,16.43,4.85,36.2412182892812,1.55920278854724,Rosetta,26378.24,4.42124581532759,17.9092503079271,1.25307740639929,0.283831593015407,0.008036927406832,-2.09490995439883
61,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,1.61,0.20682587603185,0.008527228635999,-2.06919209235602,0,131.67701863354,2.1195099848969
62,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,3.22,0.507855871695831,4.27935872168316,0.631378693195241,4.27083149304716,65.8385093167702,1.81847998923292
63,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,6.44,0.808885867359812,8.98312677978802,0.953427528966777,4.70376805810486,32.9192546583851,1.51744999356894
64,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,12.88,1.10991586302379,11.9729470966476,1.07820106354563,2.98982031685958,16.4596273291925,1.21641999790496
65,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,25.76,1.41094585868777,13.9464303643999,1.14446306270457,1.97348326775226,8.22981366459627,0.915390002240977
66,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,51.52,1.71197585435176,15.3304131774955,1.18555385989601,1.38398281309564,4.11490683229814,0.614360006576996
67,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,103.04,2.01300585001574,16.3503430835193,1.21352687000646,1.01992990602379,2.05745341614907,0.313330010913015
68,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,206.08,2.31403584567972,17.3380872298998,1.23900118360614,0.987744146380475,1.02872670807453,0.012300015249033
69,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,412.16,2.6150658413437,18.6774226827183,1.27131694727428,1.33933545281853,0.514363354037267,-0.288729980414948
70,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,824.32,2.91609583700768,19.5986792189684,1.29222680466048,0.921256536250134,0.257181677018634,-0.589759976078929
71,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,1648.64,3.21712583267166,20.261340396583,1.3066681728892,0.662661177614563,0.128590838509317,-0.89078997174291
72,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,3297.28,3.51815582833564,20.7707145844632,1.31745143802527,0.509374187880177,0.064295419254658,-1.19181996740689
73,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,6594.56,3.81918582399962,21.1796859414436,1.32591951597405,0.408971356980398,0.032147709627329,-1.49284996307087
74,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,13189.12,4.12021581966361,21.5178717712344,1.33279931514883,0.338185829790824,0.016073854813665,-1.79387995873485
75,6,1965.9549,3.29357355067526,0.25472,M_1,1,0.64,1.34,0.5,130,22.95,2.52,38.2505990083555,1.58263824063961,Rosetta,26378.24,4.42124581532759,21.8035365895078,1.33852694299617,0.285664818273396,0.008036927406832,-2.09490995439883
76,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,1.61,0.20682587603185,0.001112226056072,-2.95380693494173,0,131.67701863354,2.1195099848969
77,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,3.22,0.507855871695831,2.08165579080797,0.318408918973155,2.0805435647519,65.8385093167702,1.81847998923292
78,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,6.44,0.808885867359812,5.80001222124637,0.763428908668845,3.71835643043839,32.9192546583851,1.51744999356894
79,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,12.88,1.10991586302379,8.57368268995309,0.933167406332011,2.77367046870672,16.4596273291925,1.21641999790496
80,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,25.76,1.41094585868777,10.5368144400804,1.0227093319198,1.96313175012733,8.22981366459627,0.915390002240977
81,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,51.52,1.71197585435176,11.9682149708391,1.07802938130671,1.43140053075872,4.11490683229814,0.614360006576996
82,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,103.04,2.01300585001574,13.0496464480734,1.11559874556466,1.08143147723429,2.05745341614907,0.313330010913015
83,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,206.08,2.31403584567972,14.8360580722612,1.17131852460354,1.78641162418776,1.02872670807453,0.012300015249033
84,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,412.16,2.6150658413437,17.0326448573243,1.23128209116606,2.1965867850631,0.514363354037267,-0.288729980414948
85,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,824.32,2.91609583700768,18.2510499159196,1.26128785287879,1.21840505859532,0.257181677018634,-0.589759976078929
86,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,1648.64,3.21712583267166,19.0695590207232,1.2803406501996,0.818509104803599,0.128590838509317,-0.89078997174291
87,7,935,2.97081161087252,0.2519,M_1,1,0.85,1.37,0.32,130,20.52,4.67,29.3859918944054,1.46814035446837,Rosetta,3297.28,3.51815582833564,19.6806925815901,1.29404037758467,0.61113356086685,0.064295419254658,-1.19181996740689
